dataset,site,start_time,end_time
LIVE_PRECIP_RAINE_1MIN,WIMPL,2025-01-27 21:48:00,2026-03-03 08:03:00
LIVE_PRECIP_RAINE_1MIN,GLENW,2025-01-27 21:48:00,2026-03-03 08:03:00
COSMOS_STATUS_1HOUR_2024_LOOPED,PLYNL,2024-01-01 10:02:26.89,2024-07-22 15:02:29.67
LIVE_PRECIP_RAINE_1MIN,COCLP,2025-01-27 21:48:00,2026-03-03 08:04:00
LIVE_PRECIP_1MIN,STIPS,2025-01-27 19:41:00,2026-03-03 08:03:00
LIVE_PRECIP_RAINE_1MIN,GISBN,2025-01-27 21:48:00,2026-03-02 20:02:00
LIVE_PRECIP_RAINE_1MIN,HADLW,2025-01-27 21:48:00,2026-03-03 08:03:00
LIVE_PRECIP_1MIN,BUNNY,2025-01-27 19:41:00,2026-03-03 08:03:00
LIVE_PRECIP_RAINE_1MIN,MOORH,2025-01-27 21:48:00,2026-03-03 08:04:00
LIVE_SOILMET_30MIN,MOORH,2025-01-27 19:00:00,2026-03-03 08:00:00
COSMOS_STATUS_1HOUR_2024_LOOPED,GLENW,2024-04-04 00:02:27.49,2024-08-09 08:03:23.51
LIVE_PRECIP_RAINE_1MIN,MOREM,2025-01-27 21:48:00,2026-03-03 08:03:00
LIVE_PRECIP_RAINE_1MIN,PORTN,2025-01-27 21:48:00,2026-03-03 08:03:00
LIVE_PRECIP_RAINE_1MIN,REDHL,2025-01-27 21:48:00,2026-01-30 10:02:00
LIVE_PRECIP_RAINE_1MIN,RISEH,2025-01-27 21:48:00,2026-03-03 08:03:00
LIVE_PRECIP_RAINE_1MIN,HOLLN,2025-01-27 21:48:00,2026-03-03 08:02:00
LIVE_PRECIP_RAINE_1MIN,ROTHD,2025-01-27 21:48:00,2026-03-03 08:03:00
LIVE_PRECIP_RAINE_1MIN,SHEEP,2025-01-27 21:48:00,2026-03-03 08:04:00
