ID,PARENT_ID,PARAMETER_ID,UNIT_ID,STATISTIC_ID,PERIODICITY,RESOLUTION,DESCRIPTION
IMAGE_COLOUR_PROPORTION_BLUE_LM1-INST-UNITLESS-PT1M-PT1M,,IMAGE_COLOUR_PROPORTION_BLUE_LM1,UNITLESS,INST,PT1M,PT1M,Instantaneous proportion of blue in image after land mask 1
IMAGE_COLOUR_PROPORTION_BLUE_LM2-INST-UNITLESS-PT1M-PT1M,,IMAGE_COLOUR_PROPORTION_BLUE_LM2,UNITLESS,INST,PT1M,PT1M,Instantaneous proportion of blue in image after land mask 2
IMAGE_COLOUR_PROPORTION_RED_LM1-INST-UNITLESS-PT1M-PT1M,,IMAGE_COLOUR_PROPORTION_RED_LM1,UNITLESS,INST,PT1M,PT1M,Instantaneous proportion of red in image after land mask 1
IMAGE_COLOUR_PROPORTION_RED_LM2-INST-UNITLESS-PT1M-PT1M,,IMAGE_COLOUR_PROPORTION_RED_LM2,UNITLESS,INST,PT1M,PT1M,Instantaneous proportion of red in image after land mask 2
IMAGE_COLOUR_PROPORTION_GREEN_LM1-INST-UNITLESS-PT1M-PT1M,,IMAGE_COLOUR_PROPORTION_GREEN_LM1,UNITLESS,INST,PT1M,PT1M,Instantaneous proportion of green in image after land mask 1
IMAGE_COLOUR_PROPORTION_GREEN_LM2-INST-UNITLESS-PT1M-PT1M,,IMAGE_COLOUR_PROPORTION_GREEN_LM2,UNITLESS,INST,PT1M,PT1M,Instantaneous proportion of green in image after land mask 2
LWIN-MEAN_PREC-WM-2-PT30M-PT30M,,LWIN,WM-2,MEAN_PREC,PT30M,PT30M,Mean incoming longwave radiation over preceding 30 minutes in watts per metre squared
LWIN-STDDEV_PREC-WM-2-PT30M-PT30M,,LWIN_STD,WM-2,STDDEV_PREC,PT30M,PT30M,Standard deviation of incoming longwave radiation over preceding 30 minutes in watts per metre squared
LWIN-TOTAL_PREC-MJM-2-D-P1D-P1D,,LWIN,MJM-2-D,TOTAL_PREC,P1D,P1D,Total incoming longwave radiation over preceding day in megajoules per metre squared
LWIN_UNC-MEAN_PREC-WM-2-PT30M-PT30M,,LWIN_UNC,WM-2,MEAN_PREC,PT30M,PT30M,Mean incoming longwave radiation uncertainty over preceding 30 minutes in watts per metre squared (uncorrected)
LWIN_UNC-STDDEV_PREC-WM-2-PT30M-PT30M,,LWIN_UNC_STD,WM-2,STDDEV_PREC,PT30M,PT30M,Standard deviation of incoming longwave radiation uncertainty over preceding 30 minutes in watts per metre squared (uncorrected)
LWIN_MULT-INST-UNITLESS-PT30M-PT30M,,LWIN_MULT,UNITLESS,INST,PT30M,PT30M,Instantaneous incoming longwave radiation calibration factor (unitless)
LWOUT-MEAN_PREC-WM-2-PT30M-PT30M,,LWOUT,WM-2,MEAN_PREC,PT30M,PT30M,Mean outgoing longwave radiation over preceding 30 minutes in watts per metre squared
LWOUT-STDDEV_PREC-WM-2-PT30M-PT30M,,LWOUT_STD,WM-2,STDDEV_PREC,PT30M,PT30M,Standard deviation of outgoing longwave radiation over preceding 30 minutes in watts per metre squared
