"ID","locHistory_Catchment","locHistory_LocationName","locHistory_SiteCode","locHistory_GridReference","locHistory_Date","locHistory_AssetID","locHistory_MovementType","locHistory_Date_End","locHistory_Sensor_Height","locHistory_Canopy_Height_At_Install","locHistory_Sensor_Depth","locHistory_Instrument_In_Use","locHistory_Notes","locHistory_DistFromInlet","locHistory_Datum","locHistory_DistFromDatum","locHistory_Sensor firmware","locHistory_Vertical offset","locHistory_North offset","locHistory_East offset","locHistory_Azimuth","locHistory_CPEC_Pump_Flow_Rate"
86,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,627,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
87,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,592,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
88,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,1483,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
89,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,1484,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
90,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,1486,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
91,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,1487,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
92,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,1488,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
93,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,727,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
94,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,732,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
95,,"xx-UKCEH_Wallingford","xx-UKCEH_Wallingford",,09/02/2026 00:00:00,723,,,200.00,10.00,0.00,"Yes",,0.00,0.00,0.00,,,,,,
96,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,681,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
97,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,682,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
98,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,678,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
99,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,674,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
100,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,683,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
101,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,665,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
102,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,757,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
103,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,758,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
104,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,759,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
105,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,760,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
106,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,1550,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
107,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,1551,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
