FLAG_DEF,FLAG_COLUMN,FLAG_SCHEME
PERM_4_FLAG_DEF,CS655_4_P_QC_FLAG,fdri_quality_control_flag_scheme
PIT_INT_FLAG_DEF,RainE_Pit_Int_1m_CORE_FLAG,core_flag_scheme
PIT_INT_FLAG_DEF,RainE_Pit_Int_1m_CORRS_FLAG,fdri_correction_flag_scheme
PIT_INT_FLAG_DEF,RainE_Pit_Int_1m_INFILL_FLAG,fdri_infill_flag_scheme
PIT_INT_FLAG_DEF,RainE_Pit_Int_1m_QC_FLAG,fdri_quality_control_flag_scheme
PIT_INT_HR_FLAG_DEF,RainE_Pit_Int_1m_Hr_CORE_FLAG,core_flag_scheme
PIT_INT_HR_FLAG_DEF,RainE_Pit_Int_1m_Hr_CORRS_FLAG,fdri_correction_flag_scheme
PIT_INT_HR_FLAG_DEF,RainE_Pit_Int_1m_Hr_INFILL_FLAG,fdri_infill_flag_scheme
PIT_INT_HR_FLAG_DEF,RainE_Pit_Int_1m_Hr_QC_FLAG,fdri_quality_control_flag_scheme
PIT_INT_LR_FLAG_DEF,RainE_Pit_Int_lr_CORE_FLAG,core_flag_scheme
PIT_INT_LR_FLAG_DEF,RainE_Pit_Int_lr_CORRS_FLAG,fdri_correction_flag_scheme
PIT_INT_LR_FLAG_DEF,RainE_Pit_Int_lr_INFILL_FLAG,fdri_infill_flag_scheme
PIT_INT_LR_FLAG_DEF,RainE_Pit_Int_lr_QC_FLAG,fdri_quality_control_flag_scheme
PIT_INT_LR_HR_FLAG_DEF,RainE_Pit_Int_lr_Hr_CORE_FLAG,core_flag_scheme
PIT_INT_LR_HR_FLAG_DEF,RainE_Pit_Int_lr_Hr_CORRS_FLAG,fdri_correction_flag_scheme
PIT_INT_LR_HR_FLAG_DEF,RainE_Pit_Int_lr_Hr_INFILL_FLAG,fdri_infill_flag_scheme
PIT_INT_LR_HR_FLAG_DEF,RainE_Pit_Int_lr_Hr_QC_FLAG,fdri_quality_control_flag_scheme
PIT_PRECIP_FLAG_DEF,RainE_Pit_Precip_lr_CORE_FLAG,core_flag_scheme
PIT_PRECIP_FLAG_DEF,RainE_Pit_Precip_lr_CORRS_FLAG,fdri_correction_flag_scheme
PIT_PRECIP_FLAG_DEF,RainE_Pit_Precip_lr_INFILL_FLAG,fdri_infill_flag_scheme
PIT_PRECIP_FLAG_DEF,RainE_Pit_Precip_lr_QC_FLAG,fdri_quality_control_flag_scheme
PIT_PRECIP_TOT_FLAG_DEF,RainE_Pit_Precip_Tot_CORE_FLAG,core_flag_scheme
PIT_PRECIP_TOT_FLAG_DEF,RainE_Pit_Precip_Tot_CORRS_FLAG,fdri_correction_flag_scheme
PIT_PRECIP_TOT_FLAG_DEF,RainE_Pit_Precip_Tot_INFILL_FLAG,fdri_infill_flag_scheme
PIT_PRECIP_TOT_FLAG_DEF,RainE_Pit_Precip_Tot_QC_FLAG,fdri_quality_control_flag_scheme
PPFD_IN_FLAG_DEF,PPFD_IN_Avg_CORE_FLAG,core_flag_scheme
PPFD_IN_FLAG_DEF,PPFD_IN_Avg_CORRS_FLAG,fdri_correction_flag_scheme
PPFD_IN_FLAG_DEF,PPFD_IN_Avg_INFILL_FLAG,fdri_infill_flag_scheme
PPFD_IN_FLAG_DEF,PPFD_IN_Avg_QC_FLAG,fdri_quality_control_flag_scheme
PRECIP_FLAG_DEF,RainE_Precip_lr_CORE_FLAG,core_flag_scheme
PRECIP_FLAG_DEF,RainE_Precip_lr_CORRS_FLAG,fdri_correction_flag_scheme
PRECIP_FLAG_DEF,RainE_Precip_lr_INFILL_FLAG,fdri_infill_flag_scheme
PRECIP_FLAG_DEF,RainE_Precip_lr_QC_FLAG,fdri_quality_control_flag_scheme
PRECIP_INT_FLAG_DEF,RainE_Int_1m_CORE_FLAG,core_flag_scheme
PRECIP_INT_FLAG_DEF,RainE_Int_1m_CORRS_FLAG,fdri_correction_flag_scheme
